mt20id,prfnm,prfpdfrom,prfpdto,시설명,총객석수,시(도),구(군),주소
PF263492,RAP HOUSE VOL.40,2025.04.25,2025.04.25,"플렉스라운지 (구. 스테이라운지, 구. 인디팍)",150,서울,마포구,서울특별시 마포구 양화로 100-10 (서교동)
PF263462,"막주금라이브 Vol.40, 윤숭",2025.04.25,2025.04.25,Cafe PPnF,30,서울,종로구,서울특별시 종로구 성균관로 87 (명륜1가)
PF263366,퍼트 단독 콘서트: CREDIT,2025.04.26,2025.04.26,플렉스홀 3호점,0,서울,마포구,서울특별시 마포구 독막로 68 (상수동)
PF263297,KOR KASH: DO OR DIE CONCERT,2025.04.27,2025.04.27,웨스트브릿지 라이브홀,160,서울,마포구,서울특별시 마포구 와우산로25길 6 (서교동)
PF263263,수상한스테이지 (04.25),2025.04.25,2025.04.25,수상한창고,35,서울,금천구,서울특별시 금천구 금하로24길 7(시흥동)
PF263241,흑백영화처럼,2025.04.22,2025.04.30,구름아래소극장,200,서울,마포구,서울특별시 마포구 와우산로29가길 15 (서교동)
PF263090,"제995회 목요예술무대: 시리즈 파장, 밴드 다섯",2025.04.24,2025.04.24,강남씨어터,232,서울,강남구,서울특별시 강남구 역삼로7길 16 (역삼동)
PF263079,JIHA : Mount XLR with MonoLens,2025.04.26,2025.04.26,틸라 그라운드,0,서울,마포구,서울특별시 마포구 토정로9길 2 (상수동)
PF263015,Sleepy Synthesizers with Lullatone X Mohani,2025.04.26,2025.04.26,쿤스트카비넷,0,서울,종로구,서울특별시 종로구 창경궁로35길 21 (혜화동)
PF263014,"만원재즈, 그루브 잼세션",2025.04.18,2025.04.25,재즈클럽 그루브,70,서울,서초구,서울특별시 서초구 신반포로47길 52 (잠원동)
PF263013,LIVE in SETi Vol.35,2025.04.25,2025.04.25,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF262991,수상한스테이지 (04.18),2025.04.18,2025.04.18,수상한창고,35,서울,금천구,서울특별시 금천구 금하로24길 7(시흥동)
PF262982,"지하아이돌 정기 공연, 주간 아이돌점프 vol.8",2025.04.24,2025.04.24,몽향라이브홀,100,서울,서대문구,서울특별시 서대문구 연세로5다길 10 (창천동)
PF262881,82 NIGHT LIVE vol.2 (D82 X HeMeets),2025.04.27,2025.04.27,스페이스브릭 (SPACE BRICK),60,서울,마포구,서울특별시 마포구 잔다리로 31(서교동)
PF262873,"명가의 초대, 대체불가 멀티악기 연주가 권병호 콘서트",2025.04.18,2025.04.18,엠팟홀 (구. 삼익아트홀),150,서울,강남구,서울특별시 강남구 학동로 171 (논현동) 삼익악기빌딩 3층
PF262859,노들인디션 VOL.2 크리스피 단독공연: Seventeen,2025.04.30,2025.04.30,노들섬,1072,서울,용산구,서울특별시 용산구 양녕로 445 (이촌동)
PF262828,오늘도 아이돌 vol.26,2025.04.24,2025.04.24,옥타바리움 라이브홀,70,서울,마포구,서울특별시 마포구 와우산로18길 16 (서교동)
PF262817,"핑거프린츠 Fingerprints, Music Week",2025.04.10,2025.04.13,이태원 웨어하우스 베뉴,0,서울,용산구,서울특별시 용산구 우사단로14길 21 (이태원동)
PF262798,"먼데이프로젝트 시즌8, 불고기 디스코 단독 콘서트: GOOD TIME",2025.04.30,2025.04.30,클럽온에어,0,서울,마포구,서울특별시 마포구 잔다리로 44(서교동)
PF262797,"먼데이프로젝트 시즌8, ddbb 단독 콘서트: Our Universe",2025.04.28,2025.04.28,클럽온에어,0,서울,마포구,서울특별시 마포구 잔다리로 44(서교동)
PF262775,Nocturnal Noise Vol.1,2025.04.12,2025.04.12,Baby Doll (베이비돌),0,서울,서대문구,서울특별시 서대문구 연세로7안길 26 (창천동)
PF262719,디폴트 단독공연: Sirius Pre-release Show,2025.04.26,2025.04.26,홈즈레드 명동,0,서울,중구,서울특별시 중구 퇴계로 176 (남학동)
PF262685,LIVE in SETi Vol.34,2025.04.24,2025.04.24,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF262664,"Open Record Night Vol.29, 장영은 Quintet: Monks Reality",2025.04.19,2025.04.19,문래레코드,0,서울,영등포구,서울특별시 영등포구 도림로 481 (문래동4가)
PF262621,イヴイヴに~!,2025.04.27,2025.04.27,프리즘홀 (프리즘플러스),120,서울,마포구,서울특별시 마포구 양화로12길 6 (서교동)
PF262591,제72회 라이브 클럽 데이,2025.04.25,2025.04.25,라이브클럽 협동조합,0,서울,마포구,서울특별시 마포구 어울마당로 61 (서교동)
PF262536,박강수 콘서트: 춘몽 [서울 마포],2025.04.27,2025.04.27,베짱이홀,200,서울,마포구,서울특별시 마포구 독막로15길 3-12 (상수동)
PF262496,"TONE STUDIO LIVE, 박기훈 섹스텟 (PARK KIHUN sextet) : JOY SPRING",2025.04.25,2025.04.25,톤스튜디오 서울,39,서울,마포구,서울특별시 마포구 성미산로 64-5 (성산동)
PF262494,LIVE in SETi Vol.32,2025.04.17,2025.04.17,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF262486,LIVE in SETi Vol.33,2025.04.18,2025.04.18,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF262485,KIM GYEOL 3rd Solo Concert: ANOTHER I,2025.04.26,2025.04.27,구름아래소극장,200,서울,마포구,서울특별시 마포구 와우산로29가길 15 (서교동)
PF262482,희망씨 나눔 콘서트: Get Together,2025.04.27,2025.04.27,벨로주 [홍대] (구. 왓에버),123,서울,마포구,서울특별시 마포구 잔다리로 46 (서교동)
PF262478,Atelier FES vol.20,2025.04.30,2025.04.30,아틀리에홀,0,서울,마포구,서울특별시 마포구 독막로19길 46 (상수동)
PF262477,To More Raw X 헤이맨 X 코토바: ADAMANT,2025.04.18,2025.04.18,CJ아지트 광흥창,250,서울,마포구,서울특별시 마포구 창전로 14 (신정동) CJ아지트
PF262475,"팡타구뤼엘의 파티 Vol.9, 김목인 & 이주영",2025.04.13,2025.04.13,복합문화공간에무,253,서울,종로구,서울특별시 종로구 경희궁1가길 7 (신문로2가)
PF262474,"78LIVE, 고고학",2025.04.24,2025.04.24,엠피엠지,30,서울,마포구,서울특별시 마포구 서강로 78 (창전동)
PF262448,ASH AHN (안성현) 단독 콘서트: TO MY JOYFUL WORLD,2025.04.26,2025.04.26,CJ아지트 광흥창,250,서울,마포구,서울특별시 마포구 창전로 14 (신정동) CJ아지트
PF262442,와글와글: 먼데이 오프 위드 블루지 X 숨비,2025.04.20,2025.04.20,살롱 문보우,80,서울,마포구,서울특별시 마포구 잔다리로 113 (서교동)
PF262431,리릭페이퍼 Lyric Paper Vol.2,2025.04.19,2025.04.19,벨로주 [홍대] (구. 왓에버),123,서울,마포구,서울특별시 마포구 잔다리로 46 (서교동)
PF262424,잔나비 콘서트: 모든소년소녀들 [서울 송파],2025.04.26,2025.05.04,잠실종합운동장,81813,서울,송파구,서울특별시 송파구 올림픽로 25 (잠실동)
PF262410,NAZCA RECORDS CONCERT 나즈카 레코드 콘서트,2025.04.26,2025.04.26,벨로주 [홍대] (구. 왓에버),123,서울,마포구,서울특별시 마포구 잔다리로 46 (서교동)
PF262401,"지하아이돌 정기 공연, 주간 아이돌점프 vol.7",2025.04.17,2025.04.17,몽향라이브홀,100,서울,서대문구,서울특별시 서대문구 연세로5다길 10 (창천동)
PF262357,"먼데이프로젝트 시즌8, Try Again: 안다영 단독 콘서트",2025.04.21,2025.04.21,KT&G 상상마당 라이브홀 [마포],226,서울,마포구,서울특별시 마포구 어울마당로 65 (서교동)
PF262356,"먼데이프로젝트 시즌8, 안녕하신가영 단독 콘서트: 월요일에도 봄이 떠오르면 좋겠어요",2025.04.21,2025.04.21,구름아래소극장,200,서울,마포구,서울특별시 마포구 와우산로29가길 15 (서교동)
PF262287,카게레루 (KAGERERU) 츠루 생탄제: 夢なんて,2025.04.20,2025.04.20,프리즘홀 (프리즘플러스),120,서울,마포구,서울특별시 마포구 양화로12길 6 (서교동)
PF262265,Sora Kim 2nd Album Release Concert,2025.04.26,2025.04.26,톤스튜디오 서울,39,서울,마포구,서울특별시 마포구 성미산로 64-5 (성산동)
PF262255,SETi FES Vol.4,2025.04.13,2025.04.13,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF262232,Fatalite,2025.04.16,2025.04.16,옥타바리움 라이브홀,70,서울,마포구,서울특별시 마포구 와우산로18길 16 (서교동)
PF262227,숨비 단독 콘서트: STAGE & SHOT,2025.04.13,2025.04.13,얼라이브홀(구. 크랙홀),200,서울,마포구,서울특별시 마포구 독막로7길 20 (서교동) 지하1층
PF262197,다린 Promenade Live Session,2025.04.19,2025.04.19,톤스튜디오 서울,39,서울,마포구,서울특별시 마포구 성미산로 64-5 (성산동)
PF262189,시인을 위하여 정규 일집 발매 기념 쇼케이스,2025.04.20,2025.04.20,CJ아지트 광흥창,250,서울,마포구,서울특별시 마포구 창전로 14 (신정동) CJ아지트
PF262186,SETi FES Vol.3,2025.04.12,2025.04.12,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF262157,Atelier FES vol.19,2025.04.22,2025.04.22,아틀리에홀,0,서울,마포구,서울특별시 마포구 독막로19길 46 (상수동)
PF262134,경찰은 될 수 없어!,2025.04.17,2025.04.17,아틀리에홀,0,서울,마포구,서울특별시 마포구 독막로19길 46 (상수동)
PF262130,부산락킹루키쇼 [서울],2025.04.19,2025.04.19,KT&G 상상마당 라이브홀 [마포],226,서울,마포구,서울특별시 마포구 어울마당로 65 (서교동)
PF262125,보라미유 단독콘서트: 있잖아,2025.04.26,2025.04.26,KT&G 상상마당 라이브홀 [마포],226,서울,마포구,서울특별시 마포구 어울마당로 65 (서교동)
PF262079,LIVE in SETi Vol.31,2025.04.11,2025.04.11,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF262059,"수상한콘서트, 우리에게 쓰는 편지 (4월)",2025.04.19,2025.04.19,수상한창고,35,서울,금천구,서울특별시 금천구 금하로24길 7(시흥동)
PF262057,수상한스테이지 (04.04),2025.04.04,2025.04.04,수상한창고,35,서울,금천구,서울특별시 금천구 금하로24길 7(시흥동)
PF262054,수상한스테이지 (04.11),2025.04.11,2025.04.11,수상한창고,35,서울,금천구,서울특별시 금천구 금하로24길 7(시흥동)
PF262045,정승환 팬콘서트: University of Seung Hwan,2025.04.26,2025.04.27,명화라이브홀,962,서울,영등포구,서울특별시 영등포구 버드나루로 30 (영등포동2가)
PF262035,"DJ Soulscape Curated 25, 몽니",2025.04.26,2025.04.27,현대카드 언더스테이지,205,서울,용산구,서울특별시 용산구 이태원로 246 (한남동)
PF262017,김희재 콘서트: HEERE WE GO,2025.04.19,2025.04.20,세종대학교 대양홀,2029,서울,광진구,서울특별시 광진구 능동로 209 (군자동)
PF262013,밴드 맥거핀 8주년 기념 단독 콘서트: MR. Celebration,2025.04.20,2025.04.20,벨로주 [홍대] (구. 왓에버),123,서울,마포구,서울특별시 마포구 잔다리로 46 (서교동)
PF262011,유명한 Live: Another Song For MJ,2025.04.12,2025.04.12,현대카드 언더스테이지,205,서울,용산구,서울특별시 용산구 이태원로 246 (한남동)
PF262010,DAESUNG ASIA TOUR: D's WAVE IN SEOUL,2025.04.26,2025.04.27,올림픽공원,41376,서울,송파구,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
PF262006,LIVE in SETi Vol.30,2025.04.10,2025.04.10,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF261999,자우림 팬 콘서트: 러브공작단 시크릿 쥬 주 총회,2025.04.26,2025.04.26,신한카드 SOL페이 스퀘어(구.신한pLay 스퀘어),720,서울,마포구,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)"
PF261992,김켄지 단독 콘서트: ON AIR,2025.04.19,2025.04.19,스페이스브릭 (SPACE BRICK),60,서울,마포구,서울특별시 마포구 잔다리로 31(서교동)
PF261985,장보람 팬콘서트: 보람듯이,2025.04.10,2025.04.13,링크아트센터드림,979,서울,종로구,서울특별시 종로구 동숭길 123 (동숭동)
PF261974,"Dive Right into Indie, 난파란 단독공연",2025.04.16,2025.04.16,카페 언플러그드,60,서울,마포구,서울특별시 마포구 와우산로33길 26 (서교동)
PF261973,Atelier FES Day & Night VOL.2,2025.04.12,2025.04.12,아틀리에홀,0,서울,마포구,서울특별시 마포구 독막로19길 46 (상수동)
PF261972,"지하아이돌 정기 공연, 주간 아이돌점프 vol.6",2025.04.10,2025.04.10,몽향라이브홀,100,서울,서대문구,서울특별시 서대문구 연세로5다길 10 (창천동)
PF261926,"먼데이프로젝트 시즌8, Try Again: 안예은 단독 콘서트",2025.04.17,2025.04.17,노들섬,1072,서울,용산구,서울특별시 용산구 양녕로 445 (이촌동)
PF261909,NANO BIRTHDAY LIVE 백야,2025.04.20,2025.04.20,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF261907,오늘도 아이돌 vol.25,2025.04.10,2025.04.10,옥타바리움 라이브홀,70,서울,마포구,서울특별시 마포구 와우산로18길 16 (서교동)
PF261875,"롤링 30주년 기념 공연, 가리온 콘서트: 뿌리깊은 나무",2025.04.27,2025.04.27,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF261868,Lemon & Rose Birthday Live: I Luv Goguma Latte,2025.04.13,2025.04.13,프리즘홀 (프리즘플러스),120,서울,마포구,서울특별시 마포구 양화로12길 6 (서교동)
PF261804,"롤링 30주년 기념 공연, 이지영 단독콘서트: 봄날의 여유",2025.04.26,2025.04.26,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF261803,제12회 뮤니브 콘서트: 청춘기행 下,2025.04.05,2025.04.05,복합문화공간에무,253,서울,종로구,서울특별시 종로구 경희궁1가길 7 (신문로2가)
PF261798,Atelier FES vol.18,2025.04.08,2025.04.08,아틀리에홀,0,서울,마포구,서울특별시 마포구 독막로19길 46 (상수동)
PF261779,중식이 밴드 X 천진우: 와따리 가따리,2025.04.18,2025.04.18,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF261769,규도 단독 공연: Our Spring,2025.04.27,2025.04.27,플렉스홀 3호점,0,서울,마포구,서울특별시 마포구 독막로 68 (상수동)
PF261763,컬러풀 스테이지 #12: 난파란 & 아사달,2025.04.20,2025.04.20,클럽온에어,0,서울,마포구,서울특별시 마포구 잔다리로 44(서교동)
PF261756,SETi FES Vol.1,2025.04.05,2025.04.05,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF261750,"Super Rookie Challenge: Season 15, Round 2",2025.04.11,2025.04.11,프리즘홀 (프리즘플러스),120,서울,마포구,서울특별시 마포구 양화로12길 6 (서교동)
PF261747,SETi FES Vol.2,2025.04.06,2025.04.06,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF261737,"SSP 서울스트리트퍼포먼스, 푸를 청 봄 춘: 청.춘",2025.04.05,2025.04.05,스윙홀,0,서울,마포구,서울특별시 마포구 동교로 162-5 (서교동)
PF261714,이정권 EP 앨범 발매 기념 콘서트: 봄으로 피어,2025.04.05,2025.04.05,엠팟홀 (구. 삼익아트홀),150,서울,강남구,서울특별시 강남구 학동로 171 (논현동) 삼익악기빌딩 3층
PF261703,AT2021lwx,2025.04.04,2025.04.04,클럽 A.O.R(All Of Rock),70,서울,마포구,서울특별시 마포구 와우산로 156 (서교동)
PF261689,"우디 콘서트: Woody, Live",2025.04.19,2025.04.20,구름아래소극장,200,서울,마포구,서울특별시 마포구 와우산로29가길 15 (서교동)
PF261675,손혜은 정규 1집 발매 콘서트: 모자이크,2025.04.11,2025.04.11,클럽온에어,0,서울,마포구,서울특별시 마포구 잔다리로 44(서교동)
PF261652,빅타임: 생일파티,2025.04.04,2025.04.04,프리즘홀 (프리즘플러스),120,서울,마포구,서울특별시 마포구 양화로12길 6 (서교동)
PF261630,"롤링 30주년 기념 공연, 바닐라유니티 단독콘서트: NOT AGAIN",2025.04.25,2025.04.25,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF261627,Yuriko Birthday Live: ブルーミスト,2025.04.19,2025.04.19,웨스트브릿지 라이브홀,160,서울,마포구,서울특별시 마포구 와우산로25길 6 (서교동)
PF261626,"명가의 초대, 국악크로스오버밴드 온도 단독 콘서트: 봄의 온도",2025.04.11,2025.04.11,엠팟홀 (구. 삼익아트홀),150,서울,강남구,서울특별시 강남구 학동로 171 (논현동) 삼익악기빌딩 3층
PF261619,HAPPY RURU DAY: Apple Blossom,2025.04.09,2025.04.09,아틀리에홀,0,서울,마포구,서울특별시 마포구 독막로19길 46 (상수동)
PF261617,Framing Vol.3,2025.04.05,2025.04.05,온맘씨어터,100,서울,마포구,서울특별시 마포구 어울마당로 94-8 (서교동)
PF261614,"베게싸움의 날 특별공연, ふわふわが止まらない! Vol.06",2025.04.03,2025.04.03,아로아로홀,0,서울,마포구,서울특별시 마포구 월드컵로 41-1 (합정동)
PF261596,키라라의 키라라 단독공연,2025.04.19,2025.04.19,무신사 개러지 (구. 왓챠홀),144,서울,마포구,서울특별시 마포구 잔다리로 32(서교동)
PF261594,RASTER SHOWCASE SEOUL,2025.04.10,2025.04.10,틸라 그라운드,0,서울,마포구,서울특별시 마포구 토정로9길 2 (상수동)
PF261592,우시 정규 앨범 쇼케이스 콘서트: Lost & Found,2025.04.06,2025.04.06,CJ아지트 광흥창,250,서울,마포구,서울특별시 마포구 창전로 14 (신정동) CJ아지트
PF261589,브로콜리너마저 단독공연: 다정한 사월 2025,2025.04.26,2025.04.27,무신사 개러지 (구. 왓챠홀),144,서울,마포구,서울특별시 마포구 잔다리로 32(서교동)
PF261576,"정여진 Live Concert, AniBirthday to You",2025.04.19,2025.04.19,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
PF261575,LIVE in SETi Vol.29,2025.04.04,2025.04.04,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF261569,"먼데이프로젝트 시즌8, 피에타 단독 콘서트: 난시",2025.04.10,2025.04.10,클럽온에어,0,서울,마포구,서울특별시 마포구 잔다리로 44(서교동)
PF261568,만우절은 될 수 없어!,2025.04.01,2025.04.01,프리즘홀 (프리즘플러스),120,서울,마포구,서울특별시 마포구 양화로12길 6 (서교동)
PF261535,안병웅 단독 콘서트: MPBOY Vol.4,2025.04.05,2025.04.05,프리즘홀 (프리즘플러스),120,서울,마포구,서울특별시 마포구 양화로12길 6 (서교동)
PF261519,"이승환, GOOD FELLOWS",2025.04.10,2025.04.13,신한카드 SOL페이 스퀘어(구.신한pLay 스퀘어),720,서울,마포구,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)"
PF261518,유브이 쇼 in 유브이 텔,2025.04.19,2025.04.20,명화라이브홀,962,서울,영등포구,서울특별시 영등포구 버드나루로 30 (영등포동2가)
PF261517,THE BOYZ Unexpected SPECIAL STAGE,2025.03.23,2025.03.23,명화라이브홀,962,서울,영등포구,서울특별시 영등포구 버드나루로 30 (영등포동2가)
PF261501,RAP HOUSE VOL.39,2025.03.21,2025.03.21,"플렉스라운지 (구. 스테이라운지, 구. 인디팍)",150,서울,마포구,서울특별시 마포구 양화로 100-10 (서교동)
