mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,area,genrenm,openrun,prfstate
PF263492,RAP HOUSE VOL.40,2025.04.25,2025.04.25,"플렉스라운지 (구. 스테이라운지, 구. 인디팍)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF263492_250421_112627.gif,,대중음악,N,공연완료
PF263462,"막주금라이브 Vol.40, 윤숭",2025.04.25,2025.04.25,Cafe PPnF,http://www.kopis.or.kr/upload/pfmPoster/PF_PF263462_250421_102218.png,,대중음악,N,공연완료
PF263366,퍼트 단독 콘서트: CREDIT,2025.04.26,2025.04.26,플렉스홀 3호점,http://www.kopis.or.kr/upload/pfmPoster/PF_PF263366_250418_095245.jpg,,대중음악,N,공연완료
PF263297,KOR KASH: DO OR DIE CONCERT,2025.04.27,2025.04.27,웨스트브릿지 라이브홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF263297_250417_110731.jpg,,대중음악,N,공연완료
PF263263,수상한스테이지 (04.25),2025.04.25,2025.04.25,수상한창고,http://www.kopis.or.kr/upload/pfmPoster/PF_PF263263_250417_095227.png,,대중음악,N,공연완료
PF263241,흑백영화처럼,2025.04.22,2025.04.30,구름아래소극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF263241_250417_102809.gif,,대중음악,N,공연완료
PF263090,"제995회 목요예술무대: 시리즈 파장, 밴드 다섯",2025.04.24,2025.04.24,강남씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF263090_250414_152039.jpg,,대중음악,N,공연완료
PF263079,JIHA : Mount XLR with MonoLens,2025.04.26,2025.04.26,틸라 그라운드,http://www.kopis.or.kr/upload/pfmPoster/PF_PF263079_250414_145547.png,,대중음악,N,공연완료
PF263015,Sleepy Synthesizers with Lullatone X Mohani,2025.04.26,2025.04.26,쿤스트카비넷,http://www.kopis.or.kr/upload/pfmPoster/PF_PF263015_250414_112022.png,,대중음악,N,공연완료
PF263014,"만원재즈, 그루브 잼세션",2025.04.18,2025.04.25,재즈클럽 그루브,http://www.kopis.or.kr/upload/pfmPoster/PF_PF263014_250414_111955.gif,,대중음악,N,공연완료
PF263013,LIVE in SETi Vol.35,2025.04.25,2025.04.25,세티 라이브홀 (SETI LIVE HALL),http://www.kopis.or.kr/upload/pfmPoster/PF_PF263013_250414_111425.jpg,,대중음악,N,공연완료
PF262991,수상한스테이지 (04.18),2025.04.18,2025.04.18,수상한창고,http://www.kopis.or.kr/upload/pfmPoster/PF_PF262991_250414_102430.png,,대중음악,N,공연완료
PF262982,"지하아이돌 정기 공연, 주간 아이돌점프 vol.8",2025.04.24,2025.04.24,몽향라이브홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF262982_250414_100209.png,,대중음악,N,공연완료
